X(m) Y(m) elev(m) gz(mgal)
-5000.0 -3000.0 -1800.0 5.88411241241
-4898.98989899 -3000.0 -1800.0 6.01677455295
-4797.97979798 -3000.0 -1800.0 5.88408032774
-4696.96969697 -3000.0 -1800.0 6.10602149342
-4595.95959596 -3000.0 -1800.0 6.08889214809
-4494.94949495 -3000.0 -1800.0 6.27098038437
-4393.93939394 -3000.0 -1800.0 6.26900205355
-4292.92929293 -3000.0 -1800.0 6.15141105153
-4191.91919192 -3000.0 -1800.0 6.35258629898
-4090.90909091 -3000.0 -1800.0 6.4496563251
-3989.8989899 -3000.0 -1800.0 6.47434235278
-3888.88888889 -3000.0 -1800.0 6.43955591853
-3787.87878788 -3000.0 -1800.0 6.23960961882
-3686.86868687 -3000.0 -1800.0 6.47865886956
-3585.85858586 -3000.0 -1800.0 6.67083792681
-3484.84848485 -3000.0 -1800.0 6.62781459058
-3383.83838384 -3000.0 -1800.0 6.86617180726
-3282.82828283 -3000.0 -1800.0 6.73332757337
-3181.81818182 -3000.0 -1800.0 6.89002193354
-3080.80808081 -3000.0 -1800.0 6.92903164996
-2979.7979798 -3000.0 -1800.0 6.91502602628
-2878.78787879 -3000.0 -1800.0 7.08744023697
-2777.77777778 -3000.0 -1800.0 7.05436645121
-2676.76767677 -3000.0 -1800.0 7.05510067205
-2575.75757576 -3000.0 -1800.0 7.03448266291
-2474.74747475 -3000.0 -1800.0 7.34632248209
-2373.73737374 -3000.0 -1800.0 7.43035336055
-2272.72727273 -3000.0 -1800.0 7.46382490044
-2171.71717172 -3000.0 -1800.0 7.51602863534
-2070.70707071 -3000.0 -1800.0 7.69550566542
-1969.6969697 -3000.0 -1800.0 7.74296378669
-1868.68686869 -3000.0 -1800.0 7.82032816096
-1767.67676768 -3000.0 -1800.0 7.67868977611
-1666.66666667 -3000.0 -1800.0 7.80196884402
-1565.65656566 -3000.0 -1800.0 8.04450910717
-1464.64646465 -3000.0 -1800.0 7.93235501223
-1363.63636364 -3000.0 -1800.0 8.19611297797
-1262.62626263 -3000.0 -1800.0 7.98743832131
-1161.61616162 -3000.0 -1800.0 7.94911559354
-1060.60606061 -3000.0 -1800.0 8.07131983712
-959.595959596 -3000.0 -1800.0 8.19399639328
-858.585858586 -3000.0 -1800.0 8.28813284489
